"An Electronic System Level Design and Performance Evaluation for Multimedia Applications","Tsung-Han Tsai; Yu-Nan Pan; Chia-Hung Lin","Dept. of Electr. Eng., Nat. Central Univ., Chungli","Embedded Software and Systems, 2008. ICESS '08. International Conference on","29-31 July 2008","2008","","","621","624","With complexities of systems-on-chips (SoCs) rising almost daily, the system designers have been searching for new design methodology that can handle given complexities with decreased times-to-market. The obvious solution that comes to mind is increasing the level of abstraction. However the system designers also care about the system architectures, HW/SW performance, and communication protocols. Furthermore, the transaction-level model (TLM) can satisfy the requests on complex design with relative high simulation speed and well performance evaluation. In this paper, we implement a TLM-based network-on-chip (NoC) platform and share-bus system architecture with SystemC. We also implement the H.263 encoder as the system application, and apply a design methodology at electronic-system level (ESL) to make design modeling, design space exploration and performance evaluation. Out platform is able to evaluate performance in relatively short time, obtain important information and complete the design more instinctively. In addition, we compare and contrast the NoC and share-bus system architectures in terms of evaluation performance. In experimental result, the performance bottleneck in communication congestion is solved well by using the NoC instead of using the share-bus design.","","978-0-7695-3287-5","","10.1109/ICESS.2008.94","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4595619","ESL;NoC;SoCs;TLM","Application software;Computer architecture;Design methodology;Embedded software;Multimedia systems;Network-on-a-chip;Protocols;Quantization;Space exploration;Switches","circuit CAD;integrated circuit design;logic design;multimedia systems;network-on-chip","H.263 encoder;SystemC;design modeling;design space exploration;electronic system level design;multimedia application;network-on-chip;performance evaluation;share-bus system architecture;transaction-level model","","","","1","","7","","","20080812","","IEEE","","IEEE Conference Publications"
"Electronic System-Level Synthesis Methodologies","Gerstlauer, A.; Haubelt, C.; Pimentel, A.D.; Stefanov, T.P.; Gajski, D.D.; Teich, J.","Dept. of Electr. & Comput. Eng., Univ. of Texas at Austin, Austin, TX, USA","Computer-Aided Design of Integrated Circuits and Systems, IEEE Transactions on","Oct. 2009","2009","28","10","1517","1530","With ever-increasing system complexities, all major semiconductor roadmaps have identified the need for moving to higher levels of abstraction in order to increase productivity in electronic system design. Most recently, many approaches and tools that claim to realize and support a design process at the so-called electronic system level (ESL) have emerged. However, faced with the vast complexity challenges, in most cases at best, only partial solutions are available. In this paper, we develop and propose a novel classification for ESL synthesis tools, and we will present six different academic approaches in this context. Based on these observations, we can identify such common principles and needs as they are leading toward and are ultimately required for a true ESL synthesis solution, covering the whole design process from specification to implementation for complete systems across hardware and software boundaries.","0278-0070","","","10.1109/TCAD.2009.2026356","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5247153","Electronic system level (ESL);methodology;synthesis","","electronics industry;hardware-software codesign;network synthesis","electronic system-level synthesis methodology;hardware boundary;software boundary","","","","21","","42","","","20090918","","IEEE","IEEE Council on Electronic Design Automation","IEEE Journals & Magazines"
"Electronic system level design and virtual prototyping for industrial electronics","","","Industrial Electronics Society, IECON 2013 - 39th Annual Conference of the IEEE","10-13 Nov. 2013","2013","","","6831","6832","Start of the above-titled section of the conference proceedings record.","1553-572X","","","10.1109/IECON.2013.6700263","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6700263","","","","","","","","0","","","","","20140102","","IEEE","","IEEE Conference Publications"
"Electronic System Level Models for Functional Verification of System-on-Chip","Adamov, A.; Mostovaya, K.; Syzonenko, I.; Melnik, A.","Dept. of DAD, Kharkov Nat. Univ. of Radio Electron., Kharkov","CAD Systems in Microelectronics, 2007. CADSM '07. 9th International Conference - The Experience of Designing and Applications of","19-24 Feb. 2007","2007","","","348","350","Modern verification environments based on object-oriented methodology is a system-level solution that manages the process and data for a particular system-on-chip model. These systems give an ability to integrate smaller blocks of design into larger blocks, which may eventually be integrated into a system. That is reason for performing designing and functional verification at a system level, which allow teams to rapidly create large system-on-chip designs by integrating premade blocks. Integrated verification systems used to store and manage huge amount of simulation data. However, when the amount of data is large, it is difficult to analyze and extract information from it. This data can be archived for later use or it can be mined to look for different kind of violations or to get statistical information about the specified design. The paper describes the system-level verification environment for a functional verification system-on-chip models. With the help of novel approach we can easily use opportunities, that system-level modeling gives us, such as: early software validation of the system, performance analysis of the system, transaction-level verification of the project, architectural analysis of system-on-chip (SoC) , power analysis of a chip, searching hardware/software tradeoffs.","","966-533-587-0","","10.1109/CADSM.2007.4297576","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4297576","System-on-Chip;Verification;data mining;knowledge discovery;system level modeling","Data mining;Hardware;Object oriented modeling;Performance analysis;Power system modeling;Process design;Software performance;Software prototyping;System-on-a-chip;Virtual prototyping","data mining;electronic design automation;embedded systems;formal verification;integrated circuit design;integrated circuit modelling;integrated circuit testing;object-oriented methods;statistical analysis;system-on-chip","SoC architectural analysis;chip power analysis;data mining;designing aspects;electronic system level models;embedded system design;formal verification;functional verification system-on-chip model;hardware/software tradeoffs search;integrated verification systems;knowledge discovery;object-oriented methodology;software validation;statistical information;system performance analysis;system-level verification environment;transaction-level verification","","","","0","","6","","","20070904","","IEEE","","IEEE Conference Publications"
"A secure web-based framework for electronic system level design","Kazmierski, T.; Yang, X.Q.","Dept. of Electron. & Comput. Sci., Southampton Univ., UK","Design, Automation and Test in Europe Conference and Exhibition, 2003","2003","2003","","","1140","1141","This contribution presents the concept of a secure implementation of a distributed, web-based electronic design framework. Our two-tier client-webserver-toolserver architecture has been extended to support permanent databases for collaborative, distributed design development. In the sample application of the framework, developed in Java, any of the servers can be based on Linux, MS Windows or Sun-SPARC Java-servlet enabled servers. The feasibility of a secure, web-based design framework has been sufficiently proved. The technological approach used to do this involves the use of novel, yet tried and tested methods, taken, where appropriate, from the rapidly advancing field of e-commerce solutions.","1530-1591","0-7695-1870-2","","10.1109/DATE.2003.1253772","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1253772","","Analytical models;Circuit simulation;Computer architecture;Computer science;Consumer electronics;File systems;Internet;Java;Testing;Web server","Internet;Java;client-server systems;electronic commerce;electronic design automation;groupware;security of data","Internet;Java;collaborative design development;development databases;distributed design framework;e-commerce;electronic system level design;secure web-based EDA framework;servers;two-tier client-webserver-toolserver architecture;web-based CAD tool framework","","","","0","","","","","20031219","","IEEE","","IEEE Conference Publications"
"A Transmission Line Modelling VLSI processor designed with a novel Electronic System Level Methodology","Chouliaras, V.A.; Flint, J.A.; Li, Y.","Loughborough Univ., Loughborough","Electronics, Circuits and Systems, 2007. ICECS 2007. 14th IEEE International Conference on","11-14 Dec. 2007","2007","","","322","325","This paper discusses the development of a high performance, System-on-Chip (SoC) Transmission Line Modeling (TLM) accelerator designed using novel Electronic System-Level (ESL) flows, from reference C sources. The TLM processor includes a silicon implementation of the 32-bit subset of the IEEE 754 floating point standard, originally part of the Softfloat library. The Floating point core is used extensively in the numerical calculations of the TLM code whereas multiple embedded SRAM components are utilized for array variable storage. Post-behavioral-synthesis, cycle-accurate simulations show a three orders-of-magnitude better runtime performance compared to the reference C code executing on a 100 MHz, 32-bit ASIC processor. At the same time, the TLM processor exhibits greater than 150Ã performance compared to a 4-way, 200 MHz, 32-bit Chip-multiprocessor CMP). There results clearly demonstrate the potential of ESL methodologies for accelerating compute-intensive applications, compared to programmable solutions. The proposed ESL-based architecture is applicable to a range of guided and radiated wave problems and is validated in models of a WR-90 waveguide","","978-1-4244-1377-5","978-1-4244-1378-2","10.1109/ICECS.2007.4510995","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4510995","","Application specific integrated circuits;Electron accelerators;Libraries;Process design;Random access memory;Runtime;Silicon;System-on-a-chip;Transmission lines;Very large scale integration","SRAM chips;VLSI;system-on-chip;transmission line theory","ASIC processor;IEEE 754 floating point standard;SRAM components;SoC;array variable storage;chip-multiprocessor;cycle-accurate simulations;electronic system level methodology;electronic system-level flows;numerical calculations;post-behavioral-synthesis;system-on-chip;transmission line modelling VLSI processor","","","","0","","13","","","20080507","","IEEE","","IEEE Conference Publications"
"CODESL: A Framework for System-Level Modelling, Co-simulation and Design-Space Exploration of Embedded Systems Based on System-on-Chip","Hau, Y. W.; Khalil-Hani, M.; Marsono, M.N.","VeCAD Res. Lab., Univ. Teknol. Malaysia (UTM), Skudai, Malaysia","Intelligent Systems, Modelling and Simulation (ISMS), 2010 International Conference on","27-29 Jan. 2010","2010","","","122","127","This paper presents CODESL, a SystemC-based hardware-software co-design and co-simulation framework for embedded systems based on system-on-chip (SoC). This modelling platform, which works at Electronic System Level (ESL), enables early system functionality verification, as well as algorithm exploration before the final implementation prototype is available. It can validate the behaviour for both the hardware and the software modules of the embedded SoC, as well as the interaction between them with timed/cycleaccuracy. In addition, the platform also facilitates architecture exploration that assists the system designer in finding the best hardware-software partitioning. Results show that the proposed platform is capable of estimating the system execution cycle count within 5% deviation compared to the RTL deployment model for complex SoC embedded systems.","","978-1-4244-5984-1","","10.1109/ISMS.2010.87","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5416109","Electronic System Level;Embedded System;SystemC;hardware/ software co-design and co-simulator","Costs;Design automation;Embedded software;Embedded system;Hardware;Moore's Law;Prototypes;Software performance;System-on-a-chip;Turing machines","embedded systems;hardware-software codesign;system-on-chip","RTL deployment model;SoC embedded systems;SystemC-based hardware-software codesign;design-space exploration;system-level modelling;system-on-chip","","","","0","","19","","","20100218","","IEEE","","IEEE Conference Publications"
"Implementation and ESL Verification of New Earliest-Deadline-First Scheduler for Video Streaming over Wireless Networks","Chao-Lieh Chen; Chien-Hao Lai","Dept. of Electron. Eng., Nat. Kaohsiung First Univ. of Sci. & Technol., Kaohsiung, Taiwan","Intelligent Information Hiding and Multimedia Signal Processing, 2009. IIH-MSP '09. Fifth International Conference on","12-14 Sept. 2009","2009","","","390","393","We propose a cost-effective and new Earliest-Deadline First (EDF) hardware scheduler with low power and low circuit area advantages as well as an electronic system level (ESL) verification framework for co-exploring algorithms and architectures of wireless multimedia embedded systems. In the proposed ESL platform, a network simulator alleviates both benchmarking and deployment of wireless network environment when fitting a Silicon Intellectual Property (SIP) prototype to the Field-Programmable Gate Array (FPGA). An IEEE 802.11e HCCA case study show that we efficiently approach optimal collaborations between media access control (MAC) and the new EDF scheduling algorithm to achieve low power objective based on the algorithm and architecture codesign.","","978-1-4244-4717-6","978-0-7695-3762-7","10.1109/IIH-MSP.2009.265","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5337508","algorithm and architecture co-design;electronic system level verification;hardware scheduler;wireless video streaming","Circuit simulation;Embedded system;Field programmable gate arrays;Hardware;Intellectual property;Multimedia systems;Scheduling algorithm;Silicon;Streaming media;Wireless networks","field programmable gate arrays;radio networks;scheduling;video streaming;wireless LAN","ESL verification;IEEE 802.11e HCCA;earliest-deadline first hardware scheduler;electronic system level;field-programmable gate array;media access control;network simulator;silicon intellectual property;video streaming;wireless multimedia embedded systems;wireless networks","","","","2","","15","","","20091117","","IEEE","","IEEE Conference Publications"
"Behavioural languages - Part 7: SystemC Language Reference Manual","","","IEEE Std 1666 IEC61691-7 Edition 1.0 2009-12","Dec. 14 2009","2009","","","1","447","SystemC<sup>Â®</sup> is defined in this standard. SystemC is an ANSI standard C++ class library for system and hardware design for use by designers and architects who need to address complex systems that are a hybrid between hardware and software. This standard provides a precise and complete definition of the SystemC class library so that a SystemC implementation can be developed with reference to this standard alone. The primary audiences for this standard are the implementors of the SystemC class library, the implementors of tools supporting the class library, and users of the class library.","","","978-0-7381-6284-3","10.1109/IEEESTD.2009.5473172","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5473172","1666-2005;61691-7:2009;C++;SystemC;computer languages;digital systems;discrete event simulation;electronic design automation;electronic system level;electronic systems;embedded software;fixed-point;hardware description language;hardware design;hardware verification;system modeling;system-on-chip;transaction level","","ANSI standards;C++ language;IEEE standards;software libraries;software standards","ANSI standard;C++ class library;IEEE std 1666-2005;SystemC class library;SystemC language reference manual;behavioural languages","","","","0","","2","","","20100527","","IEEE","","IEEE Standards"
"Guest Editors' Introduction: The True State of the Art of ESL Design","Shukla, S.K.; Pixley, C.; Smith, G.","Virginia Polytechnic and State University","Design & Test of Computers, IEEE","May 2006","2006","23","5","335","337","ESL, or electronic-system level, has found its way into the mainstream EDA vocabulary in the past few years because of increased interest in finding new ways to raise the abstraction level for the design entry point during the electronic-systems design process. The guest editors discuss ESL's emergence and their special issue devoted to the topic.","0740-7475","","","10.1109/MDT.2006.121","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1704724","ESL;electronic system-level design","Computer architecture;Computer languages;Hardware design languages;Service oriented architecture;Software quality;Software tools;Taxonomy;Tides;Web page design;World Wide Web","","ESL;electronic system-level design","","","","5","","","","","20060925","","IEEE","IEEE Council on Electronic Design and Automation","IEEE Journals & Magazines"
